"clbid","credits","crsid","departments","enrolled","firsties","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"10428","0.0","312","[""EDUC""]","12","""0/0""","","","""2""","[""Rosemary A. Pfarr-Baker""]","""0/999""","200","[""HH 205""]","24","""Standards/Technology""","291","true","""A""","1","""0/999""","""0/999""","""O""","20051","[""M 0400-0600PM""]","""Standards and Technology""","""Research""","2005"
"10429","0.0","312","[""EDUC""]","22","""0/0""","","","""2""","[""Rosemary A. Pfarr-Baker""]","""0/999""","200","[""HH 205""]","24","""Standards/Technology""","291","true","""B""","1","""0/999""","""0/999""","""O""","20051","[""M 0630-0830PM""]","""Standards and Technology""","""Research""","2005"
"10430","1.0","313","[""EDUC""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20051","","","""Research""","2005"
"10431","1.0","314","[""EDUC""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10432","1.0","321","[""EDUC""]","18","""0/0""","","","","[""Maria L. Kelly""]","""0/999""","300","[""FH 010""]","16","""Principles of Educ""","330","false","""A""","1","""0/999""","""0/0""","""C""","20051","[""MWF 1045-1140""]","""Principles of Education, K-12""","""Research""","2005"
"10433","1.0","321","[""EDUC""]","20","""0/0""","","","","[""Maria L. Kelly""]","""0/999""","300","[""FH 10""]","16","""Principles of Educ""","330","false","""B""","1","""0/999""","""0/0""","""C""","20051","[""MWF 0905-1000""]","""Principles of Education, K-12""","""Research""","2005"
"10434","1.0","321","[""EDUC""]","18","""0/0""","","","","[""Elizabeth A. Leer""]","""0/999""","300","[""FH 10L"", ""FH 10L""]","20","""Principles of Educ""","330","false","""C""","1","""0/999""","""0/0""","""C""","20051","[""T 0935-1100"", ""Th 0930-1050""]","""Principles of Education, K-12""","""Research""","2005"
"10435","0.5","330","[""EDUC""]","20","""0/0""","","","""1""","[""Linda Berger""]","""0/999""","300","[""CHM 233"", ""CHM 233""]","30","""Tchg Music-Mid/High S""","356","false","","1","""0/999""","""0/0""","""C""","20051","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Teaching of Music in the Middle and High School""","""Research""","2005"
"10436","0.5","331","[""EDUC""]","11","""0/0""","","","","[""Dione J. Peterson""]","""0/999""","300","[""CHM 239""]","18","""Tchg Music-Sec Schls""","358","false","","1","""0/999""","""0/0""","""C""","20051","[""M 0700-0900PM""]","""Teaching of Vocal Music in the Secondary School""","""Research""","2005"
"10437","0.5","332","[""EDUC""]","11","""0/0""","","","","[""Timothy Mahr""]","""0/999""","300","[""CHM 138"", ""CHM 138""]","18","""Tchg of Instru Music""","359","false","","1","""0/999""","""0/0""","""C""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Teaching of Instrumental Music""","""Research""","2005"
"10438","0.5","335","[""EDUC""]","20","""0/0""","","","","[""Mark Schelske""]","""0/999""","300","[""FH 10""]","30","""Counsel/Comm Schools""","372","false","""A""","1","""0/999""","""0/0""","""C""","20051","[""T 1145-0110PM""]","""Counseling and Communication in Schools""","""Research""","2005"
"10439","0.5","335","[""EDUC""]","10","""0/0""","","","","[""Mark Schelske""]","""0/999""","300","[""FH 10""]","30","""Counsel/Comm Schools""","372","false","""B""","1","""0/999""","""0/0""","""C""","20051","[""T 0120-0245PM""]","""Counseling and Communication in Schools""","""Research""","2005"
"10440","0.5","336","[""EDUC""]","11","""0/0""","","","","[""Ann A. Leming""]","""0/999""","300","[""FH 10""]","30","""The Exceptional Child""","375","false","""A""","1","""0/999""","""0/0""","""C""","20051","[""Th 1245-0205PM""]","","""Research""","2005"
"10441","0.5","336","[""EDUC""]","10","""0/0""","","","","[""Ann A. Leming""]","""0/999""","300","[""FH 10""]","30","""The Exceptional Child""","375","false","""B""","1","""0/999""","""0/0""","""C""","20051","[""Th 0215-0335PM""]","","""Research""","2005"
"10442","1.0","337","[""EDUC""]","3","""0/0""","","","","[""Ann A. Leming""]","""0/999""","300","[""FH 10""]","3","""The Exceptional Child""","376","false","""A""","1","""0/999""","""0/0""","""C""","20051","[""Th 1245-0205PM""]","","""Research""","2005"
"10443","1.0","337","[""EDUC""]","1","""0/0""","","","","[""Ann A. Leming""]","""0/999""","300","[""FH 10""]","3","""The Exceptional Child""","376","false","""B""","1","""0/999""","""0/0""","""C""","20051","[""Th 0215-0335PM""]","","""Research""","2005"
"10444","0.5","340","[""EDUC""]","50","""0/0""","","","","[""John Welckle""]","""0/999""","300","[""FH 040""]","70","""Senior Seminar Educ""","381","false","","1","""0/999""","""0/0""","""C""","20051","[""M-F 0800-0400PM""]","""Senior Seminar""","""Research""","2005"
"10445","0.0","341","[""EDUC""]","50","""0/0""","","","","[""Rosemary A. Pfarr-Baker""]","""0/999""","300","","70","""Human Relations""","382","true","","1","""0/999""","""0/0""","""C""","20051","","","""Research""","2005"
"10446","0.5","342","[""EDUC""]","50","""0/0""","","","","[""Robert W. McClure""]","""0/999""","300","[""FH 040""]","70","""Issues in Education""","385","false","","1","""0/999""","""0/0""","""C""","20051","[""M-F 0800-0400PM""]","","""Research""","2005"
"10447","3.0","343","[""EDUC""]","50","""0/0""","","","","[""Rosemary A. Pfarr-Baker""]","""0/999""","300","[""TBA""]","70","""Student Teaching""","389","false","","1","""0/999""","""0/0""","""C""","20051","[""M-F 0730-0400PM""]","","""Research""","2005"
"10448","1.0","344","[""EDUC""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10449","1.0","345","[""EDUC""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10450","1.0","345","[""EDUC""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10451","0.25","347","[""DNCTE""]","17","""0/999""","","","","[""Anne von Bibra""]","""0/999""","100","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","20","""Ballroom I (Men)""","106","true","""A""","1","""0/999""","""0/999""","""C""","20051","[""T 1005-1100"", ""Th 0955-1050""]","""Ballroom I""","""Research""","2005"
"10452","0.25","347","[""DNCTE""]","18","""0/999""","","","","[""Anne von Bibra""]","""0/999""","100","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","15","""Ballroom I (Women)""","106","true","""B""","1","""0/999""","""0/999""","""C""","20051","[""T 1005-1100"", ""Th 0955-1050""]","""Ballroom I""","""Research""","2005"
"10453","0.25","350","[""DNCTE""]","14","""0/999""","","","","[""Sheryl Saterstrom""]","""0/999""","100","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","15","""Fundamentally Dance""","110","true","","1","""0/999""","""0/999""","""C""","20051","[""T 0905-1000"", ""Th 0855-0950""]","","""Research""","2005"
"10454","0.25","351","[""DNCTE""]","13","""0/999""","","","","[""Sheryl Saterstrom""]","""0/999""","100","[""DC _STUDIO_1""]","15","""Modern Dance I""","111","true","""A""","1","""0/999""","""0/999""","""O""","20051","[""MW 1150-1245PM""]","","""Research""","2005"
"10455","0.25","351","[""DNCTE""]","12","""0/999""","","","","[""Anthony Roberts""]","""0/999""","100","[""DC _STUDIO_1""]","17","""Modern Dance I""","111","true","""B""","1","""0/999""","""0/999""","""O""","20051","[""MW 1255-0150PM""]","","""Research""","2005"
"10456","0.25","353","[""DNCTE""]","19","""0/999""","","","","[""Heather J. Klopchin""]","""0/999""","100","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","20","""Ballet I""","121","true","","1","""0/999""","""0/999""","""O""","20051","[""T 1150-1245PM"", ""Th 1245-0140PM""]","","""Research""","2005"
"10457","0.5","354","[""DNCTE""]","16","""0/999""","","","","[""Sheryl Saterstrom""]","""0/999""","200","[""DC _STUDIO_3""]","15","""Body Moveable""","201","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 0905-1000""]","","""Research""","2005"
"10458","0.25","356","[""DNCTE""]","9","""0/999""","","","","[""Anne von Bibra""]","""0/999""","200","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","25","""Intl Dance II""","209","true","","1","""0/999""","""0/999""","""O""","20051","[""T 0200-0255PM"", ""Th 0240-0335PM""]","""International Dance II: Selected Dance Cultures""","""Research""","2005"
"10459","0.5","357","[""DNCTE""]","0","""0/999""","","","","[""Sheryl Saterstrom""]","""0/999""","200","[""DC _STUDIO_3""]","5","""Modern Dance II""","210","false","""A""","1","""0/999""","""0/999""","""O""","20051","[""MW 0200-0330PM""]","","""Research""","2005"
"10460","0.5","357","[""DNCTE""]","0","""0/999""","","","","[""Anthony Roberts""]","""0/999""","200","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","4","""Modern Dance II""","210","false","""B""","1","""0/999""","""0/999""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2005"
"10461","0.25","358","[""DNCTE""]","4","""0/999""","","","","[""Sheryl Saterstrom""]","""0/999""","200","[""DC _STUDIO_3""]","15","""Modern Dance II""","211","false","""A""","1","""0/999""","""0/999""","""O""","20051","[""MW 0200-0330PM""]","","""Research""","2005"
"10462","0.25","358","[""DNCTE""]","10","""0/999""","","","","[""Anthony Roberts""]","""0/999""","200","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","12","""Modern Dance II""","211","false","""B""","1","""0/999""","""0/999""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2005"
"10463","0.5","359","[""DNCTE""]","6","""0/999""","","","","[""Heather J. Klopchin""]","""0/999""","200","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","6","""Ballet II""","220","false","","1","""0/999""","""0/999""","""O""","20051","[""T 0800-0925"", ""Th 0800-0920""]","","""Research""","2005"
"10464","0.25","360","[""DNCTE""]","19","""0/999""","","","","[""Heather J. Klopchin""]","""0/999""","200","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","17","""Ballet II""","221","false","","1","""0/999""","""0/999""","""O""","20051","[""T 0800-0925"", ""Th 0800-0920""]","","""Research""","2005"
"10465","0.5","362","[""DNCTE""]","2","""0/999""","","","","[""Janice Roberts""]","""0/999""","300","[""DC _STUDIO_1""]","4","""Modern III""","310","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 0200-0330PM""]","","""Research""","2005"
"10466","0.25","363","[""DNCTE""]","8","""0/999""","","","","[""Janice Roberts""]","""0/999""","300","[""DC _STUDIO_1""]","10","""Modern III""","311","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 0200-0330PM""]","","""Research""","2005"
"10467","0.5","364","[""DNCTE""]","1","""0/999""","","","","[""Jennifer Bader""]","""0/999""","300","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","4","""Ballet III""","320","false","","1","""0/999""","""0/999""","""O""","20051","[""T 0120-0245PM"", ""Th 0215-0335PM""]","","""Research""","2005"
"10468","0.25","365","[""DNCTE""]","6","""0/999""","","","","[""Jennifer Bader""]","""0/999""","300","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","12","""Ballet III""","321","false","","1","""0/999""","""0/999""","""O""","20051","[""T 0120-0245PM"", ""Th 0215-0335PM""]","","""Research""","2005"
"10469","1.0","366","[""DNCTH""]","","","","","","[""Heather J. Klopchin""]","","100","[""DC 305""]","","""Exploring Dance""","100","false","","1","","","""O""","20051","[""MWF 1255-0150PM""]","","""Research""","2005"
"10470","1.0","369","[""DNCTH""]","","","","","","[""Janice Roberts""]","","200","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","","""Choreog & Improvisat""","231","false","","1","","","""O""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Fundamentals of Choreography and Improvisation""","""Research""","2005"
"10471","1.0","374","[""DNCTH""]","","","","","","[""Staff""]","","200","","","""Academic Internship""","294","true","","1","","","""O""","20051","","""Internship""","""Research""","2005"
"10472","1.0","375","[""DNCTH""]","","","","","","[""Staff""]","","200","","","""IS/""","298","false","","1","","","""O""","20051","","""Independent Study""","""Research""","2005"
"10473","1.0","377","[""DNCTH""]","","","","","","[""Staff""]","","300","","","""Academic Internship""","394","true","","1","","","""O""","20051","","""Internship""","""Research""","2005"
"10474","1.0","378","[""DNCTH""]","","","","","","[""Staff""]","","300","","","""IR/""","398","false","","1","","","""O""","20051","","""Independent Research""","""Research""","2005"
"10475","1.0","379","[""DNCTH""]","","","","","","[""Heather J. Klopchin""]","","300","[""DC 204""]","","""Sem: Senior Dance""","399","false","","1","","","""O""","20051","[""MWF 1150-1245PM""]","""Senior Dance Seminar""","""Seminar""","2005"
"10476","1.0","381","[""ENGL""]","10","""0/999""","","","","[""Gene Bauer""]","""0/999""","100","[""TB 227"", ""TB 227""]","15","""Intro/Academic Wri""","107","false","","1","""0/999""","""0/999""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","""Introduction to Academic Writing""","""Research""","2005"
"10477","1.0","383","[""ENGL""]","11","""0/999""","","","","[""Cathryn Meyer""]","""0/999""","100","[""RML 520""]","15","""Skills in Composition""","110","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 1150-1245PM""]","""Critical Skills in Composition""","""Research""","2005"
"10478","1.0","392","[""ENGL""]","21","""0/999""","","","","[""Diana Postlethwaite""]","""0/999""","100","[""RML 525""]","25","""Literary Studies""","185","false","""A""","1","""0/999""","""0/999""","""C""","20051","[""MWF 0200-0255PM""]","","""Research""","2005"
"10479","1.0","392","[""ENGL""]","24","""0/999""","","","","[""Carol Holly""]","""0/999""","100","[""RML 515"", ""RML 515""]","25","""Literary Studies""","185","false","""B""","1","""0/999""","""0/999""","""C""","20051","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2005"
"10480","1.0","395","[""ENGL""]","32","""0/999""","","","","[""Joseph L. Mbele""]","""0/999""","200","[""RML 421""]","25","""Folklore""","203","false","""A""","1","""0/999""","""0/999""","""C""","20051","[""MWF 1255-0150PM""]","","""Research""","2005"
"10481","1.0","397","[""ENGL""]","47","""0/999""","397","","","[""Karen Cherewatuk"", ""Cathryn Meyer""]","""0/999""","200","[""RML 515""]","55","""Lit in Engl to 1650""","221","false","","1","""0/999""","""0/999""","""C""","20051","[""MW 0905-1000""]","""Literatures in English to 1650""","""Research""","2005"
"10483","1.0","399","[""ENGL""]","32","""0/999""","399","","","[""Richard DuRocher"", ""Mary Titus""]","""0/999""","200","[""RML 515""]","55","""Lit in Engl 1650-1850""","222","false","","1","""0/999""","""0/999""","""C""","20051","[""MW 1045-1140""]","""Literatures in English 1650 to 1850""","""Research""","2005"
"10486","1.0","409","[""ENGL""]","25","""0/999""","","","","[""Colin Wells""]","""0/999""","200","[""RML 525""]","30","""Lit Eras: Discern Spirit""","240","false","""A""","1","""0/999""","""0/999""","""C""","20051","[""MWF 1150-1245PM""]","""Literary Eras: American""","""Research""","2005"
"10487","1.0","409","[""ENGL""]","30","""0/999""","","","","[""Richard Buckstead""]","""0/999""","200","[""RML 515""]","30","""Lit Eras: 1900-1950""","240","false","""B""","1","""0/999""","""0/999""","""C""","20051","[""MWF 1255-0150PM""]","""Literary Eras: American""","""Research""","2005"
"10488","1.0","413","[""ENGL""]","19","""0/999""","","","","[""James Heynen""]","""0/999""","200","[""RML 421"", ""RML 421""]","18","""Creative Wrtg: Non-Fic""","251","false","","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Creative Nonfiction""","""Research""","2005"
"10489","1.0","417","[""ENGL""]","17","""0/999""","","","","[""Jan C. Hill""]","""0/999""","200","[""RML 520"", ""RML 520""]","18","""Journalistic Writing""","255","false","","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2005"
"10490","1.0","418","[""ENGL""]","20","""0/0""","","","","[""Eliot K. Wilson""]","""0/6""","200","[""RML 525""]","18","""Creat Wrtg: Fict/Poet""","257","false","","1","""0/6""","""0/6""","""C""","20051","[""MWF 1045-1140""]","""Creative Writing I""","""Research""","2005"
"10491","1.0","423","[""ENGL""]","30","""0/999""","","","","[""Jan C. Hill""]","""0/999""","200","[""RML 525"", ""RML 525""]","30","""Eng Lang/Linguistics""","274","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0800-0925"", ""Th 0800-0920""]","""English Language and Linguistics""","""Research""","2005"
"10492","1.0","425","[""ENGL""]","29","""0/999""","","","","[""Mark Allister""]","""0/999""","200","[""RML 525"", ""RML 525""]","30","""Lit & the Environment""","276","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0935-1100"", ""Th 0930-1050""]","""Literature and the Environment""","""Research""","2005"
"10493","1.0","429","[""ENGL""]","30","""0/999""","","","","[""Jon Eric Nelson""]","""0/999""","200","[""RML 515""]","30","""Top: Prose: Post-Modern""","283","false","""A""","1","""0/999""","""0/999""","""C""","20051","[""MWF 1150-1245PM""]","""Studies in Prose""","""Topic""","2005"
"10494","1.0","429","[""ENGL""]","31","""0/999""","","","","[""Carlos V. Reyes""]","""0/999""","200","[""RML 515""]","29","""Top: Prose: Graphic Novel""","283","false","""B""","1","""0/999""","""0/999""","""C""","20051","[""MWF 0200-0255PM""]","""Studies in Prose""","""Topic""","2005"
"10495","1.0","431","[""ENGL""]","26","""0/999""","","","","[""Richard Buckstead""]","""0/999""","200","[""RML 421""]","30","""Women's Lit: 20 C Am""","286","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 0200-0255PM""]","""Women's Literature""","""Research""","2005"
"10496","1.0","433","[""ENGL""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10497","1.0","434","[""ENGL""]","1","""0/999""","","","","[""Eliot K. Wilson""]","""0/999""","200","","999","""IS/Poetry for Publication""","298","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10498","1.0","434","[""ENGL""]","1","""0/999""","","","","[""Eliot K. Wilson""]","""0/999""","200","","999","""IS/Poetry Study""","298","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10499","1.0","434","[""ENGL""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","""B""","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10500","1.0","438","[""ENGL""]","13","""0/999""","","","","[""Joseph L. Mbele""]","""0/999""","300","[""RML 420"", ""RML 420""]","15","""Top: Post Col Achebe""","347","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0800-0925"", ""Th 0800-0920""]","""Topics in Post-Colonial Literatures""","""Topic""","2005"
"10501","1.0","441","[""ENGL""]","14","""0/999""","","","","[""James Heynen""]","""0/999""","300","[""RML 420""]","15","""Adv Fict Wrtg Wkshp""","372","false","","1","""0/999""","""0/999""","""C""","20051","[""M 0700-1000PM""]","""Creative Writing II: Poetry and Fiction""","""Research""","2005"
"10502","1.0","442","[""ENGL""]","12","""0/999""","","","","[""Eliot K. Wilson""]","""0/999""","300","[""RML 420"", ""RML 420""]","15","""Adv Nonfict Wrtg Wksh""","373","false","","1","""0/999""","""0/999""","""O""","20051","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Advanced Creative Nonfiction""","""Research""","2005"
"10503","1.0","444","[""ENGL""]","14","""0/999""","","","","[""Richard DuRocher""]","""0/999""","300","[""RML 525"", ""RML 525""]","15","""Shakespeare""","380","false","","1","""0/999""","""0/999""","""C""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2005"
"10504","1.0","447","[""ENGL""]","13","""0/999""","","","","[""Mark Allister""]","""0/999""","300","[""RML 515""]","15","""Sem: Ford/Russo/Dubus""","392","false","","1","""0/999""","""0/999""","""O""","20051","[""Th 0700-1000PM""]","","""Seminar""","2005"
"10505","1.0","449","[""ENGL""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10506","1.0","451","[""ENGL""]","1","""0/999""","","","","[""Richard DuRocher""]","""0/999""","300","","999","""IR/Sidney Legacy""","398","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10507","1.0","451","[""ENGL""]","0","""0/999""","","","","[""Maggie Broner""]","""0/999""","300","","999","""IR/Gender & Lang Choices""","398","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10508","1.0","451","[""ENGL""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""B""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10509","1.0","451","[""ENGL""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""C""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10510","1.0","451","[""ENGL""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""D""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10511","1.0","451","[""ENGL""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""E""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10512","1.0","452","[""ENGL""]","12","""0/999""","","","","[""Jon Eric Nelson""]","""0/999""","300","[""RML 420"", ""RML 420""]","15","""Sem: Ethics/Narrative""","399","false","","1","""0/999""","""0/999""","""O""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""The Major Seminar""","""Seminar""","2005"
"10513","1.0","453","[""ENVST""]","21","""0/999""","","","","[""Matthew Rohn""]","""0/999""","100","[""DC 204"", ""DC 204""]","26","""Culture of Nature""","101","false","","1","""0/999""","""0/999""","""O""","20051","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""The Culture of Nature""","""Research""","2005"
"10514","1.0","454","[""ENVST""]","19","""0/999""","","","","[""Kathleen L. Shea""]","""0/999""","100","[""SC 129""]","26","""Conservation Biology""","125","false","","1","""0/999""","""0/999""","""O""","20051","[""MW 0100-0300PM""]","","""Research""","2005"
"10515","1.0","455","[""ENVST""]","20","""0/999""","","","","[""Robert Jacobel""]","""0/999""","100","[""SC 129"", ""SC 129""]","26","""Intro: Env Studies""","137","false","""A""","1","""0/999""","""0/999""","""O""","20051","[""T 0935-1100"", ""Th 0930-1050""]","""Introduction to Environmental Studies""","""Research""","2005"
"10516","1.0","455","[""ENVST""]","24","""0/999""","","","","[""John D. Schade""]","""0/999""","100","[""SC 129""]","26","""Intro: Env Studies""","137","false","""B""","1","""0/999""","""0/999""","""C""","20051","[""MWF 0800-0855""]","""Introduction to Environmental Studies""","""Research""","2005"
"10517","1.0","455","[""ENVST""]","24","""0/999""","","","","[""John D. Schade""]","""0/999""","100","[""SC 374""]","26","""Intro: Env Studies""","137","false","""C""","1","""0/999""","""0/999""","""O""","20051","[""MWF 0905-1000""]","""Introduction to Environmental Studies""","""Research""","2005"
"10518","1.0","456","[""ENVST""]","16","""0/999""","","","","[""Sheryl D. Breen""]","""0/999""","200","[""HH 302""]","26","""Global Env Politics""","201","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 0200-0255PM""]","""Topics in Global Environmental Politics""","""Research""","2005"
"10519","1.0","459","[""ENVST""]","21","""0/999""","","","","[""Rebecca Judge""]","""0/999""","200","[""HH 515""]","26","""Env Policy/Regulation""","232","false","","1","""0/999""","""0/999""","""O""","20051","[""MWF 1255-0150PM""]","""Environmental Policy and Regulation""","""Research""","2005"
"10520","1.0","461","[""ENVST""]","17","""0/999""","461","","","[""Charles Jr. Umbanhowar""]","""0/999""","200","[""RML 477""]","18","""Remote Sensing & GIS""","255","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 1045-1140""]","""Remote Sensing and Geographic Information Systems""","""Research""","2005"
"10521","1.0","463","[""ENVST""]","26","""0/999""","","","","[""Heather M. Brooks-Shirey""]","""0/999""","200","[""DC 305"", ""DC 305""]","26","""Nature & Am Landscape""","270","false","","1","""0/999""","""0/999""","""C""","20051","[""T 0800-0925"", ""Th 0800-0920""]","""Nature and American Landscapes""","""Research""","2005"
"10522","1.0","464","[""ENVST""]","0","""0/999""","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10523","1.0","465","[""ENVST""]","5","""0/999""","","","","[""James Farrell""]","""0/999""","200","","999","""IS/Campus Ecology II""","298","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Study""","""Research""","2005"
"10524","1.0","466","[""ENVST""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20051","","""Internship""","""Research""","2005"
"10525","1.0","467","[""ENVST""]","1","""0/999""","","","","[""Sheryl D. Breen""]","""0/999""","300","","999","""IR/Environment Case Study""","398","false","","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10526","1.0","467","[""ENVST""]","0","""0/999""","","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""A""","1","""0/999""","""0/999""","""O""","20051","","""Independent Research""","""Research""","2005"
"10527","1.0","471","[""IDFA""]","","","","","","[""Staff""]","","200","","","""Academic Internship""","294","true","","1","","","""O""","20051","","","""Research""","2005"
"10528","1.0","472","[""IDFA""]","","","","","","[""Staff""]","","200","","","""IS/""","298","false","","1","","","""O""","20051","","","""Research""","2005"
"10529","1.0","472","[""IDFA""]","","","","","","[""Staff""]","","200","","","""IS/""","298","false","""A""","1","","","""O""","20051","","","""Research""","2005"
"10530","1.0","474","[""IDFA""]","","","","","","[""Staff""]","","300","","","""Academic Internship""","394","true","","1","","","""O""","20051","","","""Research""","2005"
"10531","1.0","475","[""IDFA""]","","","","","","[""Staff""]","","300","","","""IR/""","398","false","","1","","","""O""","20051","","","""Research""","2005"
"10532","1.0","476","[""FREN""]","28","""0/999""","","","","[""Carrie Lewis""]","""0/999""","100","[""OM 030""]","30","""Beginning French I""","111","false","","1","""0/999""","""0/999""","""C""","20051","[""MWF 0905-1000""]","","""Research""","2005"
"10533","1.0","477","[""FREN""]","13","""0/999""","","","","[""Herve Pensec""]","""0/999""","100","[""OM 026""]","18","""Beginning French II""","112","false","""A""","1","""0/999""","""0/999""","""O""","20051","[""MWF 1045-1140""]","","""Research""","2005"
"10534","1.0","477","[""FREN""]","12","""0/999""","","","","[""Herve Pensec""]","""0/999""","100","[""OM 026""]","18","""Beginning French II""","112","false","""B""","1","""0/999""","""0/999""","""O""","20051","[""MWF 1150-1245PM""]","","""Research""","2005"
"10535","1.0","479","[""FREN""]","28","""0/999""","","","","[""Scott Homler""]","""0/999""","200","[""OM 026""]","12","""Intermed French I""","231","false","""A""","1","""0/999""","""0/999""","""O""","20051","[""MWF 0800-0855""]","""Intermediate French I""","""Research""","2005"
"10536","1.0","479","[""FREN""]","21","""0/999""","","","","[""M. Clare Mather""]","""0/999""","200","[""OM 030""]","12","""Intermed French I""","231","false","""B""","1","""0/999""","""0/999""","""O""","20051","[""MWF 1045-1140""]","""Intermediate French I""","""Research""","2005"
"10537","1.0","479","[""FREN""]","15","""0/999""","","","","[""M. Clare Mather""]","""0/999""","200","[""OM 026""]","12","""Intermed French I""","231","false","""C""","1","""0/999""","""0/999""","""O""","20051","[""MWF 1255-0150PM""]","""Intermediate French I""","""Research""","2005"
