"","clbid","credits","crsid","departments","description","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"302",9428,1,457,"['ENVST']","",NA,"['James Farrell']",200,"['HH 403']","Campus Ecology","",222,"False","False","",3,"C",20043,"['MWF 1045-1140']","","Research",2004,30
"303",9429,1,459,"['ENVST']","",NA,"['Daniel B. Kramer']",200,"['HH 301']","Enviro Policy/Regulat","",232,"False","False","",3,"O",20043,"['MWF 0200-0255PM']","","Research",2004,22
"304",9430,1,460,"['ENVST']","",NA,"['Robert Jacobel']",200,"['SC 129', 'SC 129']","Global Climate Change","",245,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,20
"305",9431,1,462,"['ENVST']","",NA,"['Emily A. Swanson']",200,"['SC 129', 'SC 129']","Saving Wild Places","",259,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,24
"306",9432,1,464,"['ENVST']","",NA,"['Rebecca Judge']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,1
"307",9433,1,465,"['ENVST']","",NA,"['Paul T. Jackson']",200,"","IS/Eco-Design","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"308",9434,1,465,"['ENVST']","",NA,"['Eugene Bakko']",200,"","IS/Sust Agriculture","",298,"False","False","A",3,"O",20043,"","","Research",2004,1
"309",9435,1,466,"['ENVST']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"310",9436,1,467,"['ENVST']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",3,"O",20043,"","","Research",2004,0
"311",9437,1,468,"['ENVST']","",NA,"['Sheryl D. Breen']",300,"['HH 515', 'HH 515']","Sem: Environ Studies","",399,"False","False","",3,"O",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Seminar",2004,8
"314",9440,1,477,"['FREN']","",NA,"['Scott Homler']",100,"['OM 026']","Beginning French II","",112,"False","False","",3,"O",20043,"['MWF 0800-0855']","","Research",2004,24
"315",9441,1,479,"['FREN']","",NA,"['M. Clare Mather']",200,"['OM 031']","Intermed French I","",231,"False","False","",3,"O",20043,"['MWF 1255-0150PM']","","Research",2004,18
"316",9442,1,480,"['FREN']","",NA,"['Wendy Allen']",200,"['OM 026']","Intermed French II","",232,"False","False","A",3,"O",20043,"['MWF 0905-1000']","","Research",2004,16
"317",9443,1,480,"['FREN']","",NA,"['Jolene Barjasteh']",200,"['OM 026']","Intermed French II","",232,"False","False","B",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,25
"318",9444,1,480,"['FREN']","",NA,"['Scott Homler']",200,"['OM 026']","Intermed French II","",232,"False","False","C",3,"O",20043,"['MWF 0200-0255PM']","","Research",2004,22
"319",9445,1,485,"['FREN']","",NA,"['Wendy Allen']",200,"['OM 026', 'OM 026']","Intro Literary Analy","",253,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,28
"320",9446,1,486,"['FREN']","",NA,"['M. Clare Mather']",200,"['OM 026', 'OM 026']","Fr World: Immigr Lit","",271,"False","False","",3,"O",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,13
"321",9447,1,490,"['FREN']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"322",9448,1,491,"['FREN']","",NA,"['Wendy Allen']",200,"","IS/Teaching Coll Fren","",298,"False","False","",3,"O",20043,"","","Research",2004,1
"323",9449,1,494,"['FREN']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"324",9450,1,495,"['FREN']","",NA,"['Scott Homler']",300,"['OM 026', 'OM 026']","Sem: Enlightenment","",397,"False","False","",3,"O",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,7
"325",9451,1,496,"['FREN']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",3,"O",20043,"","","Research",2004,0
"326",9452,1,497,"['FREN']","",NA,"['Staff']",300,"['OM 026', 'OM 026']","Sem: Enlightenment","",399,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,0
"327",9453,1,498,"['GE']","",NA,"['Karen E. Marsalek']",100,"['DC 204']","First-Year Writing","",111,"False","False","A",3,"C",20043,"['MWF 0905-1000']","","Research",2004,18
"328",9454,1,498,"['GE']","",NA,"['Mark Allister']",100,"['RML 421']","First-Year Writing","",111,"False","False","B",3,"C",20043,"['MWF 0905-1000']","","Research",2004,17
"329",9455,1,498,"['GE']","",NA,"['Richard Buckstead']",100,"['RML 420']","First-Year Writing","",111,"False","False","C",3,"C",20043,"['MWF 1045-1140']","","Research",2004,19
"330",9456,1,498,"['GE']","",NA,"['Mary E. Trull']",100,"['RML 520']","First-Year Writing","",111,"False","False","D",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,19
"331",9457,1,498,"['GE']","",NA,"['Mary Steen']",100,"['RML 515', 'RML 515']","First-Year Writing","",111,"False","False","E",3,"C",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,13
"332",9458,1,498,"['GE']","",NA,"['Jan C. Hill']",100,"['RML 421', 'RML 421']","First-Year Writing","",111,"False","False","F",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,17
"333",9459,1,498,"['GE']","",NA,"['Richard DuRocher']",100,"['RML 525', 'RML 525']","First-Year Writing","",111,"False","False","G",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,18
"334",9460,1,498,"['GE']","",NA,"['William A. Gorton']",100,"['OM 004', 'OM 004']","First-Year Writing","",111,"False","False","H",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,18
"335",9461,1,498,"['GE']","",NA,"['Lavern Rippley']",100,"['OM 030', 'OM 030']","First-Year Writing","",111,"False","False","I",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,18
"336",9462,1,498,"['GE']","",NA,"['Joan Hepburn']",100,"['RML 420', 'RML 420']","First-Year Writing","",111,"False","False","J",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,16
"337",9463,1,498,"['GE']","",NA,"['Mary V. Winstead']",100,"['RML 520', 'RML 520']","First-Year Writing","",111,"False","False","K",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,15
"338",9464,1,498,"['GE']","",NA,"['Richard Bodman']",100,"['OM 001', 'OM 001']","First-Year Writing","",111,"False","False","L",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,18
"339",9465,1,498,"['GE']","",NA,"['Anne G. Sabo']",100,"['OM 015', 'OM 015']","First-Year Writing","",111,"False","False","M",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,18
"340",9466,1,498,"['GE']","",NA,"['Barrie J. Borich']",100,"['SH 01', 'SH 01']","First-Year Writing","",111,"False","False","N",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,18
"341",9467,1,498,"['GE']","",NA,"['James Heynen']",100,"['RML 525', 'RML 525']","First-Year Writing","",111,"False","False","O",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,18
"342",9468,1,498,"['GE']","",NA,"['Mary V. Winstead']",100,"","First-Year Writing","",111,"False","False","P",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,0
"343",9469,1,498,"['GE']","",NA,"['Barrie J. Borich']",100,"['SH 01', 'SH 01']","First-Year Writing","",111,"False","False","Q",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,17
"345",9471,1,505,"['GERM']","",NA,"['Lavern Rippley']",100,"['OM 004']","Beginning German II","",112,"False","False","A",3,"O",20043,"['MWF 0800-0855']","","Research",2004,11
"346",9472,1,505,"['GERM']","",NA,"['Karen R. Achberger']",100,"['OM 035']","Beginning German II","",112,"False","False","B",3,"O",20043,"['MWF 0800-0855']","","Research",2004,13
"347",9473,1,508,"['GERM']","",NA,"['Karl Fink']",200,"['OM 004']","Intermed German I","",231,"False","False","",3,"O",20043,"['MWF 0905-1000']","","Research",2004,22
"348",9474,1,509,"['GERM']","",NA,"['Karen R. Achberger']",200,"['OM 035']","Intermed German II","",232,"False","False","",3,"O",20043,"['MWF 1150-1245PM']","","Research",2004,20
"349",9475,1,516,"['GERM']","",NA,"['Karl Fink']",200,"['OM 004']","Exploring Non-Fiction","",252,"False","False","",3,"O",20043,"['MWF 1045-1140']","","Research",2004,15
"350",9476,1,521,"['GERM']","",NA,"['Lavern Rippley']",200,"['OM 035', 'OM 035']","Top: German Media","",273,"False","False","",3,"O",20043,"['T 0800-0925', 'Th 0800-0920']","","Topic",2004,13
"351",9477,1,522,"['GERM']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"352",9478,1,523,"['GERM']","",NA,"['Norman M. Watt']",200,"","IS/Hesse Translation","",298,"False","False","",3,"O",20043,"","","Research",2004,1
"353",9479,1,529,"['GERM']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"354",9480,1,530,"['GERM']","",NA,"['Karl Fink']",300,"","IR/Images German Hist","",398,"False","False","",3,"O",20043,"","","Research",2004,1
"355",9481,1,530,"['GERM']","",NA,"['Karl Fink']",300,"","IR/Arendt/Holocaust","",398,"False","False","A",3,"O",20043,"","","Research",2004,1
"356",9482,1,530,"['GERM']","",NA,"['Lavern Rippley']",300,"","IR/Germ: Soc ISSues","",398,"False","False","B",3,"O",20043,"","","Research",2004,1
"357",9483,1,533,"['GCON']","",NA,"['Jolene Barjasteh']",100,"['STEENSLAND']","Medieval Synthesis","",116,"False","False","A",3,"C",20043,"['MWF 1045-1140']","","Research",2004,22
"358",9484,1,533,"['GCON']","",NA,"['Diana Postlethwaite']",100,"['STEENSLAND']","Medieval Synthesis","",116,"False","False","B",3,"C",20043,"['MWF 1045-1140']","","Research",2004,22
"359",9485,1,533,"['GCON']","",NA,"['Edmund Santurri']",100,"['STEENSLAND']","Medieval Synthesis","",116,"False","False","C",3,"C",20043,"['MWF 1045-1140']","","Research",2004,22
"360",9486,1,533,"['GCON']","",NA,"['J. L. Carrington']",100,"['HH 514']","Medieval Synthesis","",116,"False","False","D",3,"C",20043,"['MWF 1045-1140']","","Research",2004,21
"361",9487,1,535,"['GCON']","",NA,"['Rebecca Judge']",200,"['HH 302']","Dissenters/Defenders","",218,"False","False","A",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,15
"362",9488,1,535,"['GCON']","",NA,"['Colin Wells']",200,"['STEENSLAND']","Dissenters/Defenders","",218,"False","False","B",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,21
"363",9489,1,535,"['GCON']","",NA,"['Charles Wilson']",200,"['STEENSLAND']","Dissenters/Defenders","",218,"False","False","C",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,21
"364",9490,1,535,"['GCON']","",NA,"['Norman M. Watt']",200,"['RML 520']","Dissenters/Defenders","",218,"False","False","D",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,19
"365",9491,1,538,"['GCON']","",NA,"['Edward Langerak']",300,"['SH 03', 'SH 03']","Ethical Issues/Gr Con","",310,"False","False","",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,15
"366",9492,1,540,"['GREEK']","",NA,"['Christopher M. Brunelle']",100,"['OM 030']","Beginning Greek II","",112,"False","False","",3,"O",20043,"['MWF 0800-0855']","","Research",2004,23
"367",9493,1,542,"['GREEK']","",NA,"['Paul P. Moran']",200,"['OM 003']","New Testament Greek","",253,"False","False","",3,"O",20043,"['MWF 1255-0150PM']","","Research",2004,11
"368",9494,1,543,"['GREEK']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"369",9495,1,544,"['GREEK']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"370",9496,1,545,"['GREEK']","",NA,"['Tarik Wareh']",300,"['OM 003', 'OM 003']","Top: Famous Speeches","",370,"False","False","",3,"O",20043,"['T 0935-1100', 'Th 0930-1050']","","Topic",2004,6
"371",9497,1,550,"['GREEK']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"372",9498,1,551,"['GREEK']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",3,"O",20043,"","","Research",2004,0
"373",9499,1,553,"['HIST']","",NA,"['Todd W. Nichol']",100,"['HH 317', 'HH 317']","Viking/Medieval Scand","",111,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,20
"374",9500,1,556,"['HIST']","",NA,"['Robert Nichols']",100,"['OM 030', 'OM 030']","Fall/Russian Monarchy","",121,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,17
"375",9501,1,557,"['HIST']","",NA,"['Dolores Peters']",100,"['OM 011', 'OM 011']","Europe--Great War","",122,"False","False","",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,16
"376",9502,1,563,"['HIST']","",NA,"['Michael Fitzgerald']",100,"['HH 515']","Slavery/Americas","",165,"False","False","",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,19
"377",9503,1,570,"['HIST']","",NA,"['Eric J. Fure-Slocum']",100,"['RML 420']","America Since WW II","",182,"False","False","",3,"C",20043,"['MWF 0905-1000']","","Research",2004,19
"378",9504,1,574,"['HIST']","",NA,"['Gary De Krey']",100,"['HH 301']","Eur/Reform/Modern","",191,"False","False","",3,"O",20043,"['MWF 0905-1000']","","Research",2004,26
"379",9505,1,576,"['HIST']","",NA,"['Helena Pohlandt-McCormick']",100,"['HH 307']","Global 1500-Present","",195,"False","False","",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,28
"380",9506,1,578,"['HIST']","",NA,"['Judy Kutulas']",100,"['HH 307']","America After 1865","",199,"False","False","A",3,"C",20043,"['MWF 0905-1000']","","Research",2004,34
"381",9507,1,578,"['HIST']","",NA,"['Eric J. Fure-Slocum']",100,"['RML 577']","America After 1865","",199,"False","False","B",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,30
"382",9508,1,582,"['HIST']","",NA,"['Timothy R. Howe']",200,"['HH 501', 'HH 501']","Ancient: Rome","",204,"False","False","",3,"C",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,40
"383",9509,1,585,"['HIST']","",NA,"['David M. Perry']",200,"['OM 001', 'OM 001']","High/Late Middle Ages","",212,"False","False","",3,"O",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,20
"384",9510,1,588,"['HIST']","",NA,"['J. L. Carrington']",200,"['HH 301']","Age of Renaissance","",217,"False","False","",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,28
"385",9511,1,590,"['HIST']","",NA,"['Gary De Krey']",200,"['HH 301']","Modern Britain","",220,"False","False","",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,24
"386",9512,1,594,"['HIST']","",NA,"['Dolores Peters']",200,"['HH 317']","French Revol/Napoleon","",227,"False","False","",3,"O",20043,"['MWF 1255-0150PM']","","Research",2004,22
"387",9513,1,596,"['HIST']","",NA,"['Robert Nichols']",200,"['HH 413']","20th Century Russia","",231,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,32
"389",9515,1,602,"['HIST']","",NA,"['Dolores Peters']",200,"['HH 501']","Wmn/Gender/Mod Europe","",239,"False","False","",3,"O",20043,"['MWF 1045-1140']","","Research",2004,24
"390",9516,1,605,"['HIST']","",NA,"['Dennis R. Hidalgo']",200,"['HH 301', 'HH 301']","Modern Latin America","",242,"False","False","",3,"O",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,31
"391",9517,1,609,"['HIST']","",NA,"['Robert Entenmann']",200,"['OM 031']","Modern China","",251,"False","False","",3,"O",20043,"['MWF 0905-1000']","","Research",2004,14
"393",9519,1,610,"['HIST']","",NA,"['Robert Entenmann']",200,"['HH 317', 'HH 317']","Japanese Civilization","",252,"False","False","",3,"O",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,24
"394",9520,1,617,"['HIST']","",NA,"['James Farrell']",200,"['HH 307']","Environmental History","",275,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,35
"395",9521,1,618,"['HIST']","",NA,"['Michael Fitzgerald']",200,"['RML 577', 'RML 577']","African-American Hist","",277,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,33
"396",9522,1,624,"['HIST']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"397",9523,1,625,"['HIST']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"398",9524,1,626,"['HIST']","",NA,"['David M. Perry']",200,"['OM 002', 'OM 002']","Top: The Crusades","",299,"False","False","",3,"O",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Topic",2004,22
"399",9525,1,628,"['HIST']","",NA,"['Timothy R. Howe']",300,"['HH 301', 'HH 301']","Sem: Greek Civilizatn","",302,"False","False","",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Seminar",2004,15
"400",9526,1,632,"['HIST']","",NA,"['Robert Nichols']",300,"['HH 302', 'HH 302']","Sem: Stalin","",320,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Seminar",2004,17
"401",9527,1,638,"['HIST']","",NA,"['Steven C. Hahn']",300,"['RML 577', 'RML 577']","Sem: Revolution","",370,"False","False","",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Seminar",2004,24
"402",9528,1,640,"['HIST']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"403",9529,1,642,"['HIST']","",NA,"['Timothy R. Howe']",300,"","IR/Alexander Great","",398,"False","False","",3,"O",20043,"","","Research",2004,1
"404",9530,1,642,"['HIST']","",NA,"['Dolores Peters']",300,"","IR/Ger/Fran/Holocaust","",398,"False","False","A",3,"O",20043,"","","Research",2004,1
"405",9531,1,642,"['HIST']","",NA,"['Steven C. Hahn']",300,"","IR/Tribes & Treaties","",398,"False","False","B",3,"O",20043,"","","Research",2004,1
"406",9532,1,642,"['HIST']","",NA,"['Timothy R. Howe']",300,"","IR/Rome & Neighbors","",398,"False","False","C",3,"O",20043,"","","Research",2004,1
"407",9533,1,642,"['HIST']","",NA,"['Michael Fitzgerald']",300,"","IR/Civil Rights","",398,"False","False","D",3,"O",20043,"","","Research",2004,1
"408",9534,1,642,"['HIST']","",NA,"['J. L. Carrington']",300,"","IR/Medieval Pilgrims","",398,"False","False","E",3,"O",20043,"","","Research",2004,1
"415",9541,1,649,"['FAMST']","",NA,"['Patricia Richardson']",200,"['HH 317']","Family Relationships","",242,"False","False","",3,"C",20043,"['MWF 1045-1140']","","Research",2004,42
"416",9542,1,653,"['FAMST']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"417",9543,1,654,"['FAMST']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"418",9544,1,655,"['FAMST']","",NA,"['Patricia Richardson']",300,"['HH 307', 'HH 307']","Senior Seminar: Sp Top","",391,"False","False","",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,20
"419",9545,1,656,"['FAMST']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"420",9546,1,657,"['FAMST']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",3,"O",20043,"","","Research",2004,0
"421",9547,1,660,"['JAPAN']","",NA,"['Rika Ito']",100,"['OM 002', 'OM 002']","Beginning Japanese II","",112,"False","False","A",3,"O",20043,"['MWF 1045-1140', 'T 0200-0255PM']","","Research",2004,10
"422",9548,1,660,"['JAPAN']","",NA,"['Rika Ito']",100,"['OM 002', 'OM 002']","Beginning Japanese II","",112,"False","False","B",3,"O",20043,"['MWF 1150-1245PM', 'T 0305-0400PM']","","Research",2004,9
"423",9549,1,660,"['JAPAN']","",NA,"['Rika Ito']",100,"['OM 002', 'OM 002']","Beginning Japanese II","",112,"False","False","C",3,"O",20043,"['MWF 1045-1140', 'T 0305-0400PM']","","Research",2004,7
"424",9550,1,660,"['JAPAN']","",NA,"['Rika Ito']",100,"['OM 002', 'OM 002']","Beginning Japanese II","",112,"False","False","D",3,"O",20043,"['MWF 1150-1245PM', 'T 0200-0255PM']","","Research",2004,5
"425",9551,1,664,"['JAPAN']","",NA,"['Phyllis Hyland Larson']",200,"['OM 002', 'RML 250']","Intermed Japanese II","",232,"False","False","",3,"O",20043,"['MWF 1255-0150PM', 'T 0305-0400PM']","","Research",2004,14
"426",9552,1,667,"['JAPAN']","",NA,"['Diane L. Burry']",200,"['OM 002']","Advanced Japanese II","",252,"False","False","",3,"O",20043,"['MWF 0200-0255PM']","","Research",2004,9
"427",9553,1,669,"['JAPAN']","",NA,"['Phyllis Hyland Larson']",200,"","IS/Film/Lit Japanese","",298,"False","False","",3,"O",20043,"","","Research",2004,1
"428",9554,1,669,"['JAPAN']","",NA,"['Rika Ito']",200,"","IS/Jpnse/Eng Lnguistc","",298,"False","False","A",3,"O",20043,"","","Research",2004,1
"429",9555,1,681,"['IS']","",NA,"['Eric Cole', 'David Booth']",200,"['DC 204', 'SC 229']","Life: Biol & Theol","",210,"False","False","",3,"C",20043,"['WF 0200-0255PM', 'M 0100-0400PM']","","Topic",2004,20
"430",9556,1,683,"['IS']","",NA,"['Gary Wicks']",200,"['DC 204', 'DC 204']","Sport & Relig: Amer Valu","",212,"False","False","",3,"C",20043,"['T 0800-0925', 'Th 0800-0920']","","Topic",2004,15
"432",9558,1,686,"['IS']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"433",9559,1,687,"['IS']","",NA,"['Thomas A. Williamson']",200,"","IS/Colonial India","",298,"False","False","",3,"O",20043,"","","Research",2004,1
"435",9561,1,689,"['IS']","",NA,"['Christopher L. Chiappari']",300,"","Senior Project I","",391,"True","False","A",3,"C",20043,"","","Research",2004,1
"436",9562,1,690,"['IS']","",NA,"['William Sonnega']",300,"","Senior Project II","",392,"False","False","A",3,"C",20043,"","","Research",2004,2
"437",9563,1,691,"['IS']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"438",9564,1,692,"['IS']","",NA,"['David Booth']",300,"","IR/Early Christ Icon","",398,"False","False","",3,"O",20043,"","","Research",2004,1
"440",9566,1,697,"['ID']","",NA,"['Edmund Santurri']",200,"['BMC 102']","War and Peace","",238,"False","False","",3,"C",20043,"['MWF 0905-1000']","","Research",2004,32
"441",9567,1,712,"['LATIN']","",NA,"['Paul P. Moran']",100,"['OM 031']","Beginning Latin II","",112,"False","False","A",3,"O",20043,"['MWF 0800-0855']","","Research",2004,14
"442",9568,1,712,"['LATIN']","",NA,"['Christopher M. Brunelle']",100,"['OM 031']","Beginning Latin II","",112,"False","False","B",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,28
"443",9569,1,715,"['LATIN']","",NA,"['Anne Groton']",200,"['OM 030']","Vergil & Latin Epic","",252,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,19
"444",9570,1,716,"['LATIN']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,0
"445",9571,1,717,"['LATIN']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"446",9572,1,723,"['LATIN']","",NA,"['Christopher M. Brunelle']",300,"['OM 004', 'OM 004']","Latin Drama","",375,"False","False","",3,"O",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,9
"447",9573,1,725,"['LATIN']","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,0
"448",9574,1,726,"['LATIN']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",3,"O",20043,"","","Research",2004,0
"481",9607,1,768,"['MGMT']","",NA,"['Mary Ann Emery']",200,"['HH 413']","Principles of Acct","",225,"False","False","A",3,"C",20043,"['MWF 1045-1140']","","Research",2004,26
"482",9608,1,768,"['MGMT']","",NA,"['Mary Ann Emery']",200,"['HH 413']","Principles of Acct","",225,"False","False","B",3,"C",20043,"['MWF 1150-1245PM']","","Research",2004,32
"483",9609,1,774,"['MGMT']","",NA,"['Richard Goedde']",200,"['SC 129']","Managerial/Cost Acct","",237,"False","False","",3,"O",20043,"['MWF 1150-1245PM']","","Research",2004,26
"484",9610,1,777,"['MGMT']","",NA,"['Sian E. Muir']",200,"['OM 001']","Marketing","",250,"False","False","",3,"C",20043,"['MWF 0200-0255PM']","","Research",2004,28
"485",9611,1,778,"['MGMT']","",NA,"['Siriwan Chutikamoltham']",200,"['HH 301', 'HH 301']","Management","",251,"False","False","A",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,25
"486",9612,1,778,"['MGMT']","",NA,"['Siriwan Chutikamoltham']",200,"['SC 170', 'SC 170']","Management","",251,"False","False","B",3,"C",20043,"['T 0120-0245PM', 'Th 0215-0335PM']","","Research",2004,24
"487",9613,1,779,"['MGMT']","",NA,"['John M. Ophaug']",200,"['HH 516', 'HH 516']","Legal Aspects of Bus","",252,"False","False","",3,"O",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,19
"488",9614,1,780,"['MGMT']","",NA,"['Sian E. Muir']",200,"['OM 001']","Entrepreneurship","",256,"False","False","",3,"C",20043,"['MWF 1255-0150PM']","","Research",2004,18
"489",9615,1,784,"['MGMT']","",NA,"['Sian E. Muir']",200,"","Academic Internship","",294,"True","False","",3,"O",20043,"","","Research",2004,1
"490",9616,1,784,"['MGMT']","",NA,"['Mary Ann Emery']",200,"","Academic Internship","",294,"True","False","A",3,"O",20043,"","","Research",2004,1
"491",9617,1,785,"['MGMT']","",NA,"['Staff']",200,"","IS/","",298,"False","False","",3,"O",20043,"","","Research",2004,0
"492",9618,1,786,"['MGMT']","",NA,"['Richard Goedde']",300,"['SC 378', 'SC 378']","Investments","",380,"False","False","",3,"C",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,30
"493",9619,1,787,"['MGMT']","",NA,"['Timothy N. Tracey']",300,"['HH 413']","Mgmt Policy & Strat","",383,"False","False","",3,"C",20043,"['Th 0700-1000PM']","","Research",2004,30
"494",9620,1,788,"['MGMT']","",NA,"['Mary Ann Emery']",300,"","Academic Internship","",394,"True","False","",3,"O",20043,"","","Research",2004,1
"495",9621,1,789,"['MGMT']","",NA,"['Staff']",300,"","IR/","",398,"False","False","",3,"O",20043,"","","Research",2004,0
"496",9622,1,792,"['MEDIA']","",NA,"['William Sonnega']",100,"['TB 216', 'TB 216']","Mass Media","",160,"False","False","A",3,"C",20043,"['T 0935-1100', 'Th 0930-1050']","","Research",2004,21
"497",9623,1,792,"['MEDIA']","",NA,"['William Sonnega']",100,"['TB 216', 'TB 216']","Mass Media","",160,"False","False","B",3,"C",20043,"['T 0800-0925', 'Th 0800-0920']","","Research",2004,24
"498",9624,1,794,"['MEDIA']","",NA,"['William Sonnega']",200,"['TB 216', 'TB 216']","Media/Contemp Culture","",260,"False","False","",3,"O",20043,"['T 1145-0110PM', 'Th 1245-0205PM']","","Research",2004,11
